"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Assam","Road & Bridges","Construction of RCC Br. No. 8/1 over Saral Bhanga on Dotma Balajan Road","NLCPR","19/12/2011","1202.31","428.55","0.00","428.55","19/12/2011","31/08/2013",""
"Assam","Road & Bridges","Construction of RCC bridge No.40/2 on CPDMDK Road in Karbi Anglong District","NLCPR","28/07/2004","131.82","120.27","111.99","73.57","16/07/2007","31/12/2005",""
"Assam","Road & Bridges","Metalling and Blacktopping of Gunjung Maibang Road from 17th to 28.78 KM(NC Hills)","NLCPR","18/08/2009","640.80","198.71","0.00","198.71","18/08/2009","31/01/2011",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 24/2 and 32/2 on Mt. Golaghat Merapani Road in Golaghat District (Assam) with approaches and protection work","NLCPR","03/01/2006","185.67","165.45","165.45","31.99","01/11/2010","30/06/2007","19/10/2009"
"Assam","Road & Bridges","Metalling and Black-topping of Narabari Dawkibari Road (Narabari to Florican Garden via Malgaon)(BTC Package)","NLCPR","31/12/2004","1595.00","1595.00","1538.10","79.75","31/03/2009","31/12/2007","30/11/2009"
"Assam","Road & Bridges","Construction of RCC Br. No. 8/1 on Bhalukmari in Mikirbheta Bhurbandha Road with approaches and protection work in Morigaon District","NLCPR","03/02/2010","254.62","226.89","181.51","45.38","23/08/2012","29/02/2012",""
"Assam","Road & Bridges","Hardutta-Birudatta road","NLCPR","18/02/2003","133.00","131.46","131.46","-1.54","31/03/2006","31/07/2005","20/11/2004"
"Assam","Road & Bridges","Improvement of road from Kahilipara to Don Bosco School at Guwahati in Assam","NLCPR","31/12/2007","252.16","226.94","226.94","113.84","18/12/2009","31/12/2009","30/06/2010"
"Assam","Road & Bridges","Improvement of Rongkhang Basti to Thekerajan Road (KAADC)","NLCPR","29/12/2011","1418.14","504.90","0.00","504.90","29/12/2011","30/06/2013",""
"Assam","Road & Bridges","Improvement of Bhangagarh - Bharalumukh VIP Road for National Games 2005","NLCPR","17/03/2005","982.80","892.99","892.99","548.99","16/07/2007","30/11/2005","30/09/2006"
"Assam","Road & Bridges","Construction of Road from Rongaichara to Bhola Bazar","NLCPR","26/12/2012","365.59","131.55","0.00","131.55","27/12/2012","30/06/2014",""
"Assam","Road & Bridges","Improvement of BBDC Road at 31 Km (Karbi Anglong)","NLCPR","16/06/2009","4017.23","1216.93","0.00","1216.93","16/06/2009","30/06/2011",""
"Assam","Road & Bridges","construction of RCC Br. No. 4/1 & 6/1 with approaches on J.B road in Jorhat distt.","NLCPR","21/06/2007","324.40","289.07","289.07","72.69","01/06/2011","30/06/2009",""
"Assam","Road & Bridges","Improvement of JB Road","NLCPR","26/05/2011","297.37","105.82","0.00","105.82","31/05/2011","30/06/2013",""
"Assam","Road & Bridges","Improvement and upgradation of Kashikotra to Basugaon Road(BTC Package)","NLCPR","31/12/2004","550.69","550.69","534.65","27.27","31/03/2009","31/12/2007","31/08/2006"
"Assam","Road & Bridges","tangla - Dimakuchi Road","NLCPR","18/02/2003","251.00","251.00","251.00","132.75","07/12/2007","31/07/2005","20/02/2005"
"Assam","Road & Bridges","Lailongpara-Kopati Road Via Boro Bazar(BTC Package)","NLCPR","31/10/2005","131.05","131.04","127.23","13.10","31/03/2009","31/12/2007","30/09/2009"
"Assam","Road & Bridges","Construction of RCC Bridge No. 3/1 on Majgaon Shantipur Road over River Sonai under Nagaon rural road Division","NLCPR","17/06/2010","333.19","118.76","0.00","118.76","17/06/2010","30/06/2012",""
"Assam","Road & Bridges","Namati-Masalpur Road, Nalbari","NLCPR","06/12/2001","31.00","31.00","31.00","31.00","26/08/2004","31/07/2006","30/06/2007"
"Assam","Road & Bridges","Improvement & Strengthening of hard crust road from Laisong to Laiko Border Road (length 30km) under Mahur Road Division","NLCPR","28/12/2012","835.29","300.45","0.00","300.45","28/12/2012","30/06/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/3 on river Bhulla, 3/2 on river Lakhi and 7/2 on river Lakhimorasuti on Bengbari Ambagaon Road in Udalguri District, Assam","NLCPR","27/06/2006","632.85","563.93","563.93","188.00","17/09/2009","31/12/2007","08/01/2010"
"Assam","Road & Bridges","Construction of RCC Bridge No. 4/1 on Garmari Gagalmari Road","NLCPR","14/07/2009","233.44","208.02","161.92","40.00","01/11/2012","29/07/2011",""
"Assam","Road & Bridges","Widening and Strengthening of Fakiragram-Serfanguri Road including conversion of STP bridge to Rcc bridges(BTC Package)","NLCPR","07/02/2005","2049.16","2049.15","1947.00","101.71","31/03/2009","31/03/2007","28/02/2009"
"Assam","Road & Bridges","Chamuapara - Purandia Road","NLCPR","11/02/2004","485.00","281.09","236.89","166.84","25/03/2009","31/03/2007",""
"Assam","Road & Bridges","Construction of RCC Br. No. 1/1 over River Pota on Hazuwa Nalbari Road in Baska District in Assam","NLCPR","27/03/2008","264.01","190.08","83.16","106.92","28/09/2011","30/09/2009",""
"Assam","Road & Bridges","Tulsijhyora-Kailamaila Road via Amguri(BTC Package)","NLCPR","31/10/2005","900.00","900.00","887.74","90.00","31/03/2009","31/12/2007","31/01/2011"
"Assam","Road & Bridges","Construction of RCC Bridge No. 2/1 on Kokrajhar Monakocha Road over River Gaurang in Kokrajhar District with approaches","NLCPR","28/10/2005","990.63","882.74","882.74","305.00","24/09/2010","28/02/2007","18/08/2011"
"Assam","Road & Bridges","Construction of Moran Netai Road, Dibrugarh","NLCPR","10/11/2010","303.42","214.39","106.68","106.90","27/08/2012","30/11/2012",""
"Assam","Road & Bridges","Diguncherra-Airport Road","NLCPR","01/04/1998","25.00","25.00","25.00","25.00","01/04/1998","31/03/2000","31/03/2000"
"Assam","Road & Bridges","Project for Road Network of Jorhat Master Plan Area in Jorhat District","NLCPR","12/09/2006","461.00","402.84","391.60","261.23","06/11/2008","30/09/2008",""
"Assam","Road & Bridges","upgradation of NT road through Ramphalbil Bazar to all weather road with conversion of SPT bridges into RCC bridge(International Border Areas)","NLCPR","27/06/2011","764.18","269.71","0.00","269.71","29/06/2011","31/07/2014",""
"Assam","Road & Bridges","Improvement of Jalah Rupahi Saudarbhitha Gobardhana road, Baska(BTC Package)","NLCPR","07/02/2005","1000.00","1000.00","847.98","50.00","31/03/2009","31/03/2007",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 42/5 & 74/1 on DLHS Road in Karbi Anglong District","NLCPR","19/03/2004","143.25","112.57","112.66","39.57","23/08/2007","31/03/2005","12/11/2008"
"Assam","Road & Bridges","construction of RCC Br. No. 4/1 on Belguri - Satrasal Road in Dhrubri District","NLCPR","27/03/2008","273.31","245.98","245.98","49.20","11/10/2010","31/03/2010","05/04/2011"
"Assam","Road & Bridges","Construction of RCC Bridge No. 3/2 over River Mansiri on Charduar Road with approaches in Sonitpur District","NLCPR","28/10/2005","165.75","147.70","147.70","46.03","30/01/2008","28/02/2007","28/01/2008"
"Assam","Road & Bridges","Construction of Bridge No. 1/2 & Bridge No. 4/1 on old AT Road under Dibrugarh Rural Road Division in Dibrugarh Distt.","NLCPR","10/11/2010","290.37","208.80","157.15","105.31","09/09/2011","30/11/2013",""
"Assam","Road & Bridges","Improvement of Barpeta Bashibari Road leading to Manas Sanctuary from km. 1st to Km. 21st in Barpeta District in Assam","NLCPR","31/12/2006","1235.65","1098.63","995.52","103.11","20/07/2011","30/06/2008",""
"Assam","Road & Bridges","Improvement of Kalaigaon Kundarbil road, Udalguri (BTC Package)","NLCPR","07/02/2005","132.00","131.99","128.96","6.60","31/03/2009","31/03/2007","09/01/2009"
"Assam","Road & Bridges","Rcc Bridge on Mandakata North Guwahati Road(2 nos)","NLCPR","07/01/2004","240.19","189.17","189.17","61.07","27/12/2005","31/03/2005","20/05/2006"
"Assam","Road & Bridges","Construction of RCC bridge at 7th Km of Kathal Road over river Ghagra including approaches and protection work in Cachar District.","NLCPR","28/03/2008","250.00","178.75","178.75","100.00","29/10/2010","31/03/2009",""
"Assam","Road & Bridges","Sessa T.E to Timona road in Dibrugarh","NLCPR","21/05/2012","401.00","140.50","0.00","140.50","23/05/2012","31/05/2014",""
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/1, 4/1, 8/1 and 9/2 on Fakiragram Sapatgram Road in Dhubri District with approaches","NLCPR","28/10/2005","514.51","458.48","458.48","174.12","30/09/2008","28/02/2007","30/12/2009"
"Assam","Road & Bridges","construction of road and minor bridge from Motinagar to Buban hill Temple - Phase I","NLCPR","24/10/2007","326.07","233.87","229.29","131.16","20/04/2011","31/10/2009",""
"Assam","Road & Bridges","Road improvement projects in NC Hills (6 No.)","NLCPR","10/03/2000","498.00","498.00","498.00","498.00","10/03/2000","30/05/2003","31/03/2002"
"Assam","Road & Bridges","Upgradation of Nagaon - Bhuragaon Road via Dhing (SH-10) under Nagaon State Road Division (Nagaon District)","NLCPR","22/03/2010","1151.91","821.42","722.80","410.71","23/05/2012","30/04/2011",""
"Assam","Road & Bridges","Udalguri - Kharupetia Road","NLCPR","11/02/2004","925.00","0.00","0.00","-112.00","21/11/2007","31/03/2008",""
"Assam","Road & Bridges","Construction of RCC Bridges and Slab Culverts by Replacing Old Bridge and slab culverts on Kamarbondha Road upto 22nd Km","NLCPR","15/06/2012","728.50","262.26","0.00","262.26","15/06/2012","31/12/2013",""
"Assam","Road & Bridges","Construction of Road from Beltola Chariali to Sarusajai (Bishnu Rabha Path), Guwahati (Assam)","NLCPR","27/12/2005","777.31","692.66","692.66","447.81","29/12/2006","31/12/2007","31/01/2007"
"Assam","Road & Bridges","Construction of RCC Bridge No. 1/3, 2/1 and 3/1 on Namti Ali in Sivasagar District","NLCPR","21/09/2004","89.68","81.55","81.55","51.55","26/09/2006","31/12/2005","17/08/2009"
"Assam","Road & Bridges","Construction of Kashikotra Bamungaon Bengtol Road(BTC Package)","NLCPR","27/12/2005","1169.00","1169.00","1036.32","116.90","31/03/2009","27/12/2008",""
"Assam","Road & Bridges","Construction of RCC Br. No. 2/2 and 2/3 (Renamed as Br. Nos. 3/1 and 4/6) on Shyamaprasadpur to Dossgram Road via Swapnargul over stream Singrai in Cachar District","NLCPR","29/11/2010","257.00","91.61","91.61","91.61","29/11/2010","31/07/2012",""
"Assam","Road & Bridges","Recce of Road in BAC Area","NLCPR","31/10/2000","3.00","3.00","2.80","3.00","28/02/2001","31/07/2005","31/03/2005"
"Assam","Road & Bridges","Improvement of Nagaon-Barapujia Road under Nagaon Dist.","NLCPR","22/11/2007","298.00","265.54","265.54","86.04","29/11/2010","30/11/2009","01/03/2011"
"Assam","Road & Bridges","Construction of RCC bridge No.1/1, 2/1 and 2/2 on Jonnai Silapathar Road in Dhimaji District","NLCPR","29/07/2004","190.00","173.37","173.37","106.37","22/06/2006","31/12/2005","30/06/2006"
"Assam","Road & Bridges","Construction of RCC Bridge No. 6/2, 7/3, 8/1, 8/2, 10/1 and 11/1 over branches of river Kaloo on A.P.S. Road under Dhubri rural Road Division","NLCPR","22/08/2012","1391.49","500.55","0.00","500.55","23/08/2012","31/07/2014",""
"Assam","Sports","Apex Stadium at Kokrajhar, BAC","NLCPR","31/01/2001","930.00","891.10","891.10","341.10","02/09/2005","31/03/2006","30/09/2009"
"Assam","Sports","Diphu Sports Complex at Diphu in Karbi Anglong District","NLCPR","29/07/2004","501.22","468.60","175.00","293.60","04/03/2008","31/03/2005",""
"Assam","Sports","Development of Jorhat stadium at jorhat","NLCPR","30/07/2007","268.93","193.10","84.70","108.40","19/08/2011","31/07/2009",""
"Assam","Sports","Construction of RCC Gallery of District Sports Association(Stadium Complex,Hailakandi)","NLCPR","17/05/2010","177.13","63.76","0.00","63.76","17/05/2010","31/05/2012",""
"Assam","Sports","Construction of proposed stadium at Mushalpur in Baska District","NLCPR","15/11/2010","900.00","317.65","0.00","317.65","15/11/2010","30/11/2013",""
"Assam","Sports","Up-gradation of Sports complex at Kajalgaon in chirang (chirang)(BTC Package-2)","NLCPR","10/01/2011","500.00","250.00","0.00","250.00","10/01/2011","10/01/2014",""
"Assam","Sports","Mini Stadium at Chapaguri, Bongaigaon","NLCPR","31/01/2001","20.00","18.83","18.83","8.83","26/03/2007","31/07/2005","30/09/2005"
"Assam","Sports","Construction of Indoor stadium at Silchar","NLCPR","20/06/2007","494.33","436.17","348.94","87.23","05/03/2012","30/06/2009",""
"Assam","Sports","Construction of District Sports Complex at Jhagrapar in Dhubri District","NLCPR","10/12/2008","377.77","116.66","0.00","116.66","10/12/2008","30/04/2010",""
"Assam","Sports","Creation of Main Athletic Stadium Complex alongwith a multi-purpose Indoor Hall at Guwahati for National Games 2005","NLCPR","22/03/2004","7510.00","7310.00","7310.00","450.00","30/01/2006","31/12/2005","31/01/2007"
"Assam","Sports","Construction of Chandi Barua Stadium at Barpeta","NLCPR","10/02/2009","290.36","89.67","89.67","89.67","10/02/2009","31/07/2010",""
"Assam","Water Supply","Margherita Water Supply Scheme in Tinsukia District","NLCPR","22/03/2010","933.66","328.73","0.00","328.73","22/03/2010","30/04/2012",""
"Assam","Water Supply","Greater dokmoka Tekelangjan Water supply scheme for fluoride, Arsenic / iron affected areas from river Dikrut(KA)","NLCPR","15/09/2011","1865.89","670.74","0.00","670.74","15/09/2011","14/10/2014",""
"Assam","Water Supply","Haflong Water Supply Scheme (NC Hills)","NLCPR","20/02/2004","141.82","72.00","71.82","72.00","20/02/2004","31/07/2005",""
"Assam","Water Supply","Stabilisation of Dispur Water Supply Scheme","NLCPR","19/08/2008","729.52","514.95","425.29","289.66","23/09/2011","28/02/2010",""
"Assam","Water Supply","Bongaigaon Town Water Supply scheme (Bongaigaon District)","NLCPR","21/01/2011","3202.24","1129.46","0.00","1129.46","28/01/2011","28/02/2014",""
"Assam","Water Supply","kokrajhar water supply scheme (BTC Package)","NLCPR","07/02/2005","2312.00","2312.00","2287.75","115.60","31/03/2009","31/03/2007",""
"Assam","Water Supply","Dhubri Town Water Supply Scheme","NLCPR","12/09/2006","1026.53","923.88","627.63","296.25","19/08/2011","30/09/2008",""
"Assam","Water Supply","Langklangvong Water Supply Scheme (Karbi Anglong)","NLCPR","02/12/2009","596.47","210.51","0.00","210.51","02/12/2009","31/12/2012",""
"Assam","Water Supply","Udalguri Piped Water Supply Scheme(BTC Package)","NLCPR","11/12/2006","533.70","254.20","254.20","25.42","31/03/2009","31/12/2007","31/10/2011"
"Assam","Water Supply","Tamulpur Piped Water Supply Scheme","NLCPR","15/12/2011","293.70","103.41","0.00","103.41","15/12/2011","31/12/2013",""
"Assam","Water Supply","Drinking Water  supply, Gossigaon","NLCPR","01/12/2000","363.00","257.17","257.15","81.85","28/09/2007","31/07/2005",""
"Assam","Water Supply","Stabilisation of Silchar Water Supply Scheme","NLCPR","20/12/2004","386.00","350.54","350.54","215.54","27/12/2005","29/03/2007","29/04/2010"
"Assam","Water Supply","Greater Bokajan Water Supply Scheme (Karbi anglong)","NLCPR","17/12/2008","1003.87","310.02","0.00","310.02","18/12/2008","31/12/2010",""
"Assam","Water Supply","Kharupetia Water Supply Scheme","NLCPR","21/01/2011","1981.15","699.23","0.00","699.23","28/01/2011","28/02/2014",""
"Assam","Water Supply","Golaghat Town Water Supply Scheme","NLCPR","28/05/2007","504.61","355.93","355.93","203.00","17/09/2008","31/05/2009",""
"Assam","Water Supply","Subankhata Water Supply Scheme (BTC Package)","NLCPR","31/10/2005","327.63","327.63","255.00","32.76","31/03/2009","31/12/2007",""
"Assam","Water Supply","Greater Mahur Town Water Supply Scheme in Assam (NC Hills)","NLCPR","31/12/2006","512.26","161.36","0.00","161.36","29/12/2006","31/12/2007",""
"Assam","Water Supply","Bheragaon Piped Water Supply Scheme(BTC Package)","NLCPR","11/12/2006","246.63","241.30","245.69","120.64","02/02/2010","31/12/2007","01/11/2009"
"Assam","Water Supply","Mangaldoi Water Supply Scheme","NLCPR","22/03/2010","1261.05","445.06","0.00","445.06","22/03/2010","30/04/2013",""
"Assam","Water Supply","Greater Silchar Town Water Supply Scheme","NLCPR","30/01/2003","1230.00","1158.82","1158.82","218.82","06/08/2007","31/03/2005",""
"Assam","Water Supply","Augmentation of Greater Diphu Water Supply Scheme in Karbi Anglong District(Karbi Anglong)","NLCPR","19/08/2008","2767.44","854.64","0.00","854.64","28/08/2008","31/07/2011",""
"Assam","Water Supply","Augumentation of Donka-Mokam Piped Water Supply Scheme in Karbi Anglong","NLCPR","15/10/2012","706.64","254.30","0.00","254.30","16/10/2012","31/10/2014",""
"Assam","Water Supply","Sarupathar Piped water Supply scheme","NLCPR","25/01/2011","1029.35","363.30","0.00","363.30","28/01/2011","28/02/2013",""
"Assam","Water Supply","Sibsagar Town Water Supply Scheme","NLCPR","28/05/2007","1639.35","1179.43","499.73","679.70","29/06/2011","31/05/2009",""
"Assam","Water Supply","Uttarpar Piped Water Supply Scheme(BTC Package)","NLCPR","11/12/2006","864.39","822.82","855.83","411.42","02/02/2010","31/12/2007","28/06/2010"
"Assam","Miscellaneous","Centre for Plasma Physics, Guwahati.","NLCPR","14/03/2000","450.00","450.00","450.00","82.00","04/03/2004","31/03/2003","22/09/2005"
"Assam","Miscellaneous","Preservation of cultural Heritage of Majuli Natun Kamalabari satra (Phase-I)","NLCPR","05/11/2009","618.97","218.46","0.00","218.46","05/11/2009","30/04/2011",""
"Assam","Miscellaneous","Setting up of Model Dairy, Fishery, Horticulture, Poultry Farm Training Centre at Kokilabari under Baksa Distt.(BTC Package -2)","NLCPR","20/03/2012","1146.00","500.00","0.00","500.00","20/03/2012","20/03/2015",""
"Assam","Miscellaneous","Street Lighting in Jorhat City leading to Jorhat Airport","NLCPR","05/04/2010","213.47","150.68","75.34","75.34","14/09/2012","30/09/2011",""
"Assam","Miscellaneous","Construction of Bus Terminals at Barpeta town","NLCPR","11/10/2010","185.96","65.63","0.00","65.63","11/10/2010","31/03/2012",""
"Assam","Miscellaneous","Construction of Cold Storage at Udalguri district(BTC Package)","NLCPR","27/12/2005","413.66","413.65","413.65","41.36","31/03/2009","27/12/2008","22/01/2011"
