"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
283.0,"BASIC RESEARCH IN MODERN BIOLOGY","Characterization of cytotoxic intermediates and deciphering the underlying mechanism of cell toxicity in Transthyretin related Amyloidosis [BT/PR12648/BRB/10/711/2009]","Dr. Sarika  Gupta
National Institute of Immunology New Delhi, Delhi-110067","16/11/2010","3 Years 0 Month",6000400.0
284.0,"BASIC RESEARCH IN MODERN BIOLOGY","Studies on activation of Wnt-Beta-Catenin signaling in macrophages upon infection with pathogenic mycobacteria [BT/PR3568/BRB/10/976/2011]","Prof. Balaji N K
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","16/11/2012","3 Years 0 Month",7315600.0
285.0,"BASIC RESEARCH IN MODERN BIOLOGY","Characterization of Novel Trans-membrane Kinases of Entamoeba histolytica [BT/PR14424/BRB/10/838/2010]","Dr. Alok  Bhattacharya
Jawaharlal Nehru University New Delhi, Delhi-110067","16/12/2011","3 Years 0 Month",7519300.0
286.0,"BASIC RESEARCH IN MODERN BIOLOGY","Dendritic cell mediated immune response in endothelial cell: implication in transplantation [BT/PR11490/BRB/10/675/2008]","Dr. Partha Pratim Manna
Banaras Hindu University Varanasi, Uttar Pradesh-221005","17/06/2010","3 Years 0 Month",4739012.0
287.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation of T cell Development and Differentiation by Nuclear Matrix Protein SMAR1: Its Implications in Immune Responses [BT/PR14746/BRB/10/899/2010]","Dr. Samit  Chattopadhyay
National Centre For Cell Science Pune, Maharashtra-411007","18/01/2012","3 Years 0 Month",8106800.0
288.0,"BASIC RESEARCH IN MODERN BIOLOGY","Investigation into the sulphur assimilatory pathways of Candida albicans. [BT/PR11656/BRB/10/681/2008]","Dr. Anand Kumar Bachhawat
Indian Institute of Science Education And Research Mohali Chandigarh, Punjab-160019","18/06/2010","3 Years 0 Month",4189000.0
289.0,"BASIC RESEARCH IN MODERN BIOLOGY","Assembly, structure and regulatory mechanism of transcriptional regulatory complexes (TRCs) of Salmonella typhimurium [BT/PR11942/BRB/10/700/2009]","Dr. S  Kumaran
INSTITUTE OF MICROBIAL TECHNOLOGY Chandigarh, Chandigarh-160036","18/06/2010","3 Years 0 Month",4028000.0
290.0,"BASIC RESEARCH IN MODERN BIOLOGY","Understanding the role   of different domains on the stability of interferon-? induced human guanylate binding protein-1. [BT/PR12034/BRB/10/704/2009]","Dr. Apurba Kumar Sau
National Institute of Immunology New Delhi, Delhi-110067","18/06/2010","3 Years 0 Month",5742032.0
291.0,"BASIC RESEARCH IN MODERN BIOLOGY","Function and role of apoptotic proteins during metamorphosis in drosophila Malpighian tubules and identification of their interactors. [BT/PR12747/BRB/10/720/2009]","Prof. Madhu G Tapdia
Banaras Hindu University Varanasi, Uttar Pradesh-221005","18/09/2010","3 Years 0 Month",2315000.0
292.0,"BASIC RESEARCH IN MODERN BIOLOGY","Complement C3 binding protein of Haemonchus contortus and its significance in host-parasite interactions [BT/PR13081/BRB/10/753/2009]","Dr. Paritosh  Joshi
INDIAN VETERINARY RESEARCH INSTITUTE- UTTAR PRADESH Bareilly, Uttar Pradesh-243122","18/09/2010","3 Years 0 Month",3400012.0
293.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structure determination of insoluble proteins by solid state NMR spectroscopy [BT/PR12700/BRB/10/719/2009]","Dr. Neeraj  Sinha
Sanjay Gandhi Post Graduate Institute of Medical Sciences Lucknow, Uttar Pradesh-226014","18/09/2010","3 Years 0 Month",5458000.0
294.0,"BASIC RESEARCH IN MODERN BIOLOGY","Investigating the role of axonal transport in sensory neuron regeneration [BT/PR13938/BRB/10/795/2010]","Dr. Sandhya P Koushika
National Centre For Biological Sciences Bangalore, Karnataka-560065","19/01/2012","3 Years 0 Month",5339600.0
295.0,"BASIC RESEARCH IN MODERN BIOLOGY","Morpholino-based antisense-Synthesis and application during zebrafish embryogenesis targeting no tail (nti)-gene. [BT/PR13426/BRB/10/761/2009]","Dr. Surajit  Sinha
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE Kolkata, West Bengal-700032","19/05/2011","3 Years 0 Month",3311400.0
296.0,"BASIC RESEARCH IN MODERN BIOLOGY","Functional characterization of XisA Protein of Anabaena PCC7 120 in vitro [BT/PR11117/BRB/10/636/2008]","Dr. G  Archana
M. S. University of Baroda Vadodara, Gujarat-390001","19/05/2011","3 Years 0 Month",3294000.0
297.0,"BASIC RESEARCH IN MODERN BIOLOGY","Deciphering the functional Significance of Heat Shock Protein 90 beta (HSP90ß) in Ovarian Autoimmunity [BT/PR12812/BRB/10/725/2009]","Dr. Vrinda Vijay Khole
National Institute For Research In Reproduction Health Mumbai, Maharashtra-400012","19/05/2011","3 Years 0 Month",4072800.0
298.0,"BASIC RESEARCH IN MODERN BIOLOGY","Elucidating Foxp3 expression and Foxp3 promoter methylation level in active non-segmental vitiligo [BT/PR13415/BRB/10/758/2009]","Dr. V K Sharma
All India Institute Of Medical Sciences New Delhi, Delhi-110029","19/07/2011","3 Years 0 Month",5891920.0
299.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural and Biochemical studies to understand the role of a unique GTPase EngA in ribosome biogenesis [BT/PR12844/BRB/10/729/2009]","Prof. Balaji  Prakash
INDIAN INSTITUTE OF TECHNOLOGY, KANPUR kanpur, Uttar Pradesh-208016","20/07/2010","3 Years 0 Month",6391032.0
300.0,"BASIC RESEARCH IN MODERN BIOLOGY","A Structure-function correlation study to unravel the mechanism of action of human catestatin [BT/PR12820/BRB/10/726/2009]","Dr. Nitish R Mahapatra
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","20/08/2010","3 Years 0 Month",5000020.0
301.0,"BASIC RESEARCH IN MODERN BIOLOGY","Deep sequencing of venom duct cDNAs from Indian cone snails. [BT/PR11293/BRB/10/849/2008]","Prof. K S Krishnan
National Centre For Biological Sciences Bangalore, Karnataka-560065","20/08/2010","3 Years 0 Month",9483800.0
302.0,"BASIC RESEARCH IN MODERN BIOLOGY","Cell Division in Mycobacterium tuberculosis [BT/PR15411/BRB/10/924/2011]","Dr. Raghunand R Tirumalai
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","20/09/2012","3 Years 0 Month",4923100.0
303.0,"BASIC RESEARCH IN MODERN BIOLOGY","Multicomponent Synthesis of some Novel Biheterocyclic Medicinal Scaffolds under Controlled Microwave Irradiation. [BT/PR13339/BRB/10/750/2009]","Prof. Krishna Nand Singh
Banaras Hindu University Varanasi, Uttar Pradesh-221005","21/06/2011","3 Years 0 Month",1940000.0
304.0,"BASIC RESEARCH IN MODERN BIOLOGY","Mechanisms of iron acquisition and iron homeostasis in an opportunistic human pathogen Candida glabrata [BT/PR13289/BRB/10/745/2009]","Dr. Rupinder  Kaur
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","21/06/2011","3 Years 0 Month",4812800.0
305.0,"BASIC RESEARCH IN MODERN BIOLOGY","Rho-dependent transcription termination machinery: mechanism of action [BT/PR13297/BRB/10/746/2009]","Dr. Ranjan  Sen
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","21/06/2011","3 Years 0 Month",5931300.0
306.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structure-function studies on Vibrio Cholerae cytolysin, a membrance damaging pore-forming toxin [BT/PR13350/BRB/10/751/2009]","Dr. Kausik  Chattopadhyay
Indian Institute of Science Education And Research Mohali Chandigarh, Chandigarh-160019","21/06/2011","3 Years 0 Month",6264400.0
307.0,"BASIC RESEARCH IN MODERN BIOLOGY","Chemically synthesized derivatives of Boswellic Acid as modulators of cytokine mediated cell signaling: implication in chronic inflammatory diseases [BT/PR11910/BRB/10/697/2009]","Dr. Latha  Diwakar
Vittal Mallya Scientific Research Foundation Bangalore, Karnataka-560076","21/07/2010","3 Years 0 Month",3571048.0
308.0,"BASIC RESEARCH IN MODERN BIOLOGY","Unraveling the mechanism of host SUMOylation in regulating the growth of  Plasmodium Liver stages [BT/PR2495/BRB/10/950/2011]","Dr. Kota Arun  Kumar
University of Hyderabad Hyderabad, Andhra Pradesh-500046","21/08/2012","3 Years 0 Month",6899000.0
309.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of oxidative stress and mitochondrial biogenesis in cardiovascular aging: Mechanisms and effect of caloric restriction mimetics [BT/PR14613/BRB/10/859/2010]","Dr. Srigiridhar  Kotamraju
INDIAN INSTITUTE OF CHEMICAL TECHNOLOGY Hyderabad, Andhra Pradesh-500007","21/09/2011","3 Years 0 Month",4615000.0
310.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of apoptosis-inducing factor (Aif) in T lymphocyte development [BT/PR14592/BRB/10/858/2010]","Dr. Satyajit  Rath
National Institute of Immunology New Delhi, Delhi-110067","21/09/2011","3 Years 0 Month",8879200.0
311.0,"BASIC RESEARCH IN MODERN BIOLOGY","Characterization of tumor suppressor function of ARID1B, a component of the human SWI/SNF chromatin remodeling complex [BT/PR14407/BRB/10/833/2010]","Dr. Murali Dharan Bashyam
Centre For DNA Fingerprinting and Diagnostics Hyderabad, Andhra Pradesh-500001","21/10/2011","3 Years 0 Month",3987600.0
312.0,"BASIC RESEARCH IN MODERN BIOLOGY","Strategies for preventing protein Aggregation [BT/PR14103/BRB/10/808/2010]","Dr. M N Gupta
INDIAN INSTITUTE OF TECHNOLOGY, DELHI New Delhi, Delhi-110016","22/02/2012","3 Years 0 Month",8362600.0
313.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular analysis of yu, a genetic suppressor of human Spinocerebellar Ataxia 8 associated neurodegeneration in Drosophila [BT/PR14080/BRB/10/805/2010]","Dr. Mousumi  Mutsuddi
Banaras Hindu University Varanasi, Uttar Pradesh-221005","22/05/2012","3 Years 0 Month",5034500.0
314.0,"BASIC RESEARCH IN MODERN BIOLOGY","Oligomerization of ?-synuclein in Parkinson’s disease (PD) [BT/PR13359/BRB/10/752/2009]","Dr. Samir K Maji
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","22/06/2011","3 Years 0 Month",5377020.0
315.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural and biology investigations of fork barrier aging protein [BT/PR13766/BRB/10/785/2010]","Dr. Ruchi  Anand
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","22/06/2011","3 Years 0 Month",6613000.0
316.0,"BASIC RESEARCH IN MODERN BIOLOGY","EXPLORING THE FUNCTIONAL CONNECTION BETWEEN PAR POLARITY PROTEINS AND NUP358 IN CELL POLARITY [BT/PR727/BRB/10/932/2011]","Dr. Jomon  Joseph
National Centre For Cell Science Pune, Maharashtra-411007","22/08/2012","3 Years 0 Month",4894800.0
317.0,"BASIC RESEARCH IN MODERN BIOLOGY","Pre-diabetes induced retinopathy: Biochemical and molecular mechanisms and intervention by dietary agents [BT/PR3446/BRB/10/969/2011]","Dr. P  Suryanarayana
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","22/08/2012","3 Years 0 Month",2632800.0
318.0,"BASIC RESEARCH IN MODERN BIOLOGY","Feasibility of Using Glycodelin in the Management of Graft Rejection [BT/PR14441/BRB/10/841/2010]","Prof. Anjali A Karande
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","22/09/2011","3 Years 0 Month",4787300.0
319.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of Immediate Early Genes in Regulation of Synaptic Proteins Involves in Olfactory Learning and Memory [BT/PR14621/BRB/10/861/2010]","Dr. K Emmanuvel  Rajan
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","22/11/2011","3 Years 0 Month",3352200.0
320.0,"BASIC RESEARCH IN MODERN BIOLOGY","Unravelling Molecular interactions during the removal of initiator Methonine at the Human Ribosome Peptide Exit-Tunnel [Bt/PR14429/BRB/10/840/2010]","Dr. Anthony  Addlagatta
INDIAN INSTITUTE OF CHEMICAL TECHNOLOGY Hyderabad, Andhra Pradesh-500007","22/11/2011","3 Years 0 Month",3975000.0
321.0,"BASIC RESEARCH IN MODERN BIOLOGY","Mycobacterial genes that are orthologs of prokaryotic N-linked glycosylation pathway enzymes: cloning and expression, and characterization of the protein products [BT/PR14810/BRB/10/879/2010]","Dr. Petety V Balaji
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","22/11/2011","3 Years 0 Month",6358800.0
322.0,"BASIC RESEARCH IN MODERN BIOLOGY","Role of Polo-like kinases in regulating microtubule dynamics, cell cycle and cell migration [BT/PR13319/BRB/10/762/2009]","Dr. Dulal  Panda
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","22/11/2011","3 Years 0 Month",7039600.0
323.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular mechanisms of eukaryotic translation initiation [BT/PR14107/BRB/10/810/2010]","Dr. Pankaj V Alone
National Institute of Science Education And Research Bhubaneswar, Orissa-751005","22/11/2011","3 Years 0 Month",7203200.0
324.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation of IP-10 mRNA stability by ligation of the receptor for advanced glycation and products in leukocytes [BT/PR13260/BRB/10/754/2009]","Dr. Narkunaraja  Shanmugam
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","23/05/2011","3 Years 0 Month",4476700.0
325.0,"BASIC RESEARCH IN MODERN BIOLOGY","Discovery of novel modulators of NAD (+) dependent protein deacetylase SIRT1 for the treatment of various human disorders [BT/PR13326/BRB/10/749/2009]","Dr. P  yogeeswari
Birla Institute of Technology & Sciences, Goa Goa, Andhra Pradesh-403726","23/05/2011","3 Years 0 Month",2977000.0
326.0,"BASIC RESEARCH IN MODERN BIOLOGY","Biochemical and functional characterization of SP_0845, a putative ABC transporter solute binding lipoprotein from Streptococcus pneumoniae [BT/PR13422/BRB/10/759/2009]","Dr. Devinder  Sehgal
National Institute of Immunology New Delhi, Delhi-110067","23/05/2011","3 Years 0 Month",3993024.0
327.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structural and functional studies on laminin and keratin binding proteins of Streptococcus agalactiae [BT/PR13517/BRB/10/764/2010]","Dr. P  Karthe
University of Madras Chennai, Tamilnadu-600005","23/05/2011","3 Years 0 Month",4171012.0
328.0,"BASIC RESEARCH IN MODERN BIOLOGY","In-silico search for potential is siRNA sequences to develop geminivirus resistant papaya crop [BT/PR11754/BRB/10/799/2008]","Dr. Sangeeta  Saxena
Babasaheb Bhimrao Ambedkar University Lucknow, Uttar Pradesh-226025","23/06/2010","3 Years 0 Month",2482000.0
329.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular basis of cardiac fibroblast resistance to oxidative stress [BT/PR14131/BRB/10/815/2010]","Dr. Shivakumar  K
Sree Chitra Tirunal Institute for Medical Sciences & Technology Thiruvananthapuram, Kerala-695012","23/08/2011","3 Years 0 Month",4238539.0
330.0,"BASIC RESEARCH IN MODERN BIOLOGY","The Size & Shape Control Mechanism of Golgi apparatus [BT/PR14909/BRB/10/887/2010]","Dr. Dibyendu  Bhattacharyya
Advanced Centre For Treatment Research & Education In Cancer Mumbai, Maharashtra-410210","23/08/2012","3 Years 0 Month",9242800.0
331.0,"BASIC RESEARCH IN MODERN BIOLOGY","Spectroscopic analyses of flagellar proteins from chlamydomonas reinhardtii and homologous ciliary proteins from human [BT/PR3159/BRB/10/960/2011]","Dr. Jacinta Seraphina DSouza
University of Mumbai Mumbai, Maharashtra-400032","23/08/2012","3 Years 0 Month",6161600.0
332.0,"BASIC RESEARCH IN MODERN BIOLOGY","Coordination of actin and Microtubule dynamics in neuronal pathfinding: Role of Formin-2 [BT/PR12698/BRB/10/717/2009]","Dr. Aurnab  Ghose
Indian Institute of Science Education and Research, West Bengal Ranaghat, Maharashtra-741252","23/09/2010","3 Years 0 Month",5718008.0
333.0,"BASIC RESEARCH IN MODERN BIOLOGY","Analysis of Type II phosphatidylinositol phosphate kinase function in vivo [BT/PR14591/BRB/10/857/2010]","Prof. Raghu  Padinjat
National Centre For Biological Sciences Bangalore, Karnataka-560065","23/09/2011","3 Years 0 Month",6004200.0
334.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structure Based Inhibitor Design for Protein Disulfide Isomerase [BT/PR13689/BRB/10/820/2010]","Dr. M Suresh Kumar
Pondicherry University Pondicherry, Pondicherry-605014","23/09/2011","3 Years 0 Month",4476400.0
335.0,"BASIC RESEARCH IN MODERN BIOLOGY","Understanding the functional roles of quantitative trait polymorphisms and the molecular basis of their complementary interactions [BT/PR14842/BRB/10/881/2010]","Dr. Himanshu  Sinha
Tata Institute Of Fundamental Research Mumbai, Maharashtra-400005","23/09/2011","3 Years 0 Month",3610400.0
336.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular evaluation of interactions between sperm membrane RAFTs and zona pellucida proteins [BT/PR11124/BRB/10/637/2008]","Dr. Pradeep G Kumar
Rajiv Gandhi Centre For Biotechnology Thiruvananthapuram, Kerala-695014","24/01/2011","3 Years 0 Month",8541024.0
337.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation and function of Ipaf, a mediator of inflammation and cell death induced by microbial infection [BT/PR14917/BRB/10/888/2010]","Dr. Ghanshyam  Swarup
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","24/04/2012","3 Years 0 Month",6434200.0
338.0,"BASIC RESEARCH IN MODERN BIOLOGY","Regulation of mitochondrial ribosome assembly by a novel Obg GTPase family member, MTG2, in Saccharomyces cerevisiae [BT/PR14740/BRB/10/875/2010]","Dr. Kaustuv  Datta
Delhi University, South Campus New Delhi, Delhi-110021","24/04/2012","3 Years 0 Month",6818000.0
339.0,"BASIC RESEARCH IN MODERN BIOLOGY","Structure-function analysis of centromeres of a pathogenic budding yeast Candida tropicali [BT/PR14840/BRB/10/880/2010]","Prof. Kaustuv  Sanyal
Jawaharlal Nehru Centre For Advanced Scientific Research Bangalore, Karnataka-560064","24/04/2012","3 Years 0 Month",6713900.0
340.0,"BASIC RESEARCH IN MODERN BIOLOGY","Investigation of self-resistance to daunorubicin conferred by drrC and drrD of Streptomyces peucetius [BT/PR14531/BRB/10/850/2010]","Dr. Rajan  prasad
Madurai Kamraj University Madurai, Tamilnadu-625021","24/04/2012","3 Years 0 Month",3130800.0
341.0,"BASIC RESEARCH IN MODERN BIOLOGY","The role of cell signaling events in modulating the functions of nucleoporin Tpr [BT/PR11056/BRB/10/632/2008]","Dr. Vinay Kumar Nandicoori
National Institute of Immunology New Delhi, Delhi-110067","24/05/2010","3 Years 0 Month",5693836.0
342.0,"BASIC RESEARCH IN MODERN BIOLOGY","Molecular Analysis of the Role of Mms21 Mediated Sumoylation in Maintenance of Chromosome Stability in Saccharomyces Cerevisiae [BT/PR13615/BRB/10/773/2010]","Dr. Shikha  Laloraya
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","24/06/2011","3 Years 0 Month",5416200.0
343.0,"BASIC RESEARCH IN MODERN BIOLOGY","Study on iron III (Salen) and iron III (Porphyrin) Complexes as Anti-tumor metallo drugs [BT/PR13684/BRB/10/787/2010]","Dr. Sanjib  Kar
National Institute of Science Education And Research Bhubaneswar, Orissa-751005","24/06/2011","3 Years 0 Month",3019020.0
